,popt
a,1.02737983390106
b,-0.9216726574829535
c,-0.9218170727913025
d,2.0443834538135217
e,-1.8937845770505712
f,1.9571826950851827
g,-1.3811220037869605
h,0.5632922089078718
i,0.7366013740843135
j,-1.153195606792357
