,popt
a,0.5572063890163328
b,-1.756135971243297
c,2.4244654651125037
d,3.1094639594100495
e,-0.34026706273616014
f,-4.047851573490647
g,-1.959040603928102
h,0.185911677482264
i,-0.03327056918866633
j,2.2630424198926136
