" ","w_a",     "x_a",      "y_a",     "z_a",      "w_b",     "x_b",      "y_b",     "z_b"
"j","-3,93E-14","5,73E-11","-2,53E-08","3,24E-06","1,06E-13","-1,52E-10","8,01E-08","-1,11E-05"
"k","-4,02E-13","6,53E-10","-2,51E-07","4,60E-05","2,03E-11","-2,72E-08","1,09E-05","-1,30E-03"
"l","6,80E-12","-1,04E-09","1,89E-06","-9,83E-04","1,80E-08","-2,54E-05","1,13E-02","-7,19E-01"
