" ","w_a",     "x_a",      "y_a",     "z_a",      "w_b",     "x_b",      "y_b",     "z_b"
"j","6,77E-16","-3,37E-12","3,58E-09","-7,83E-07","-9,76E-14","1,22E-10","-6,35E-08","1,34E-05"
"k","5,05E-13","-1,03E-09","7,98E-07","-1,10E-04","1,59E-11","-2,45E-08","1,04E-05","-1,08E-03"
"l","7,25E-11","-8,63E-08","2,70E-05","-1,16E-03","-1,75E-08","2,58E-05","-1,29E-02","4,29E+00"
